city,fa19,sp21,fa21,fa22,sp23,fa23,sp24,fa24
atl,0.4829717453,0.1340883957,0.1820021248,0.1507095092,0.2915022343,0.2388149414,0.2593281438,0.2391551554
bos,0.9811573191,0.2216581149,0.4350719598,0.4934865628,0.6056115768,0.4680783868,0.5743778316,0.5778388048
chi,1.454726947,0.2764974211,0.4254938926,0.6238213199,0.6630967646,0.74281774,0.8936224471,1.000368226
clv,0.3127234533,0.05139752359,0.08720555053,0.1036832415,0.1566951834,0.1687820654,0.2049952988,0.2215490806
dal,0.2858761458,0.1034596462,0.11786036,0.1230046391,0.1939181947,0.1829681611,0.1829712801,0.1851219307
dtr,0.2936240123,0.04952268944,0.06514382276,0.07836657346,0.1790081128,0.1523954602,0.1531476123,0.1669653089
hou,0.3254978838,0.09344800289,0.1098063918,0.1417575708,0.2717271162,0.2380079746,0.2396951425,0.2094636758
la,0.534267545,0.2501373814,0.2988161277,0.3343734445,0.4251390084,0.4303583759,0.4915872681,0.4941657158
ny,4.68897066,1.538066191,2.037059587,3.339259545,3.514163363,3.718680843,4.029317938,4.1445221
orl,0.1653743794,0.07289274376,0.06153205052,0.06568519831,0.1311731891,0.1115720582,0.1210390252,0.1036466421
phi,1.026979732,0.2783945359,0.383138158,0.6992033946,0.6924700556,0.624004423,0.6903664118,0.7454807874
pnx,0.3352326524,0.1202645567,0.1230718816,0.1423358843,0.1793698536,0.1812661656,0.1853467716,0.1906557195
sac,0.2369380184,0.08083822829,0.1030682235,0.1204238641,0.1725979752,0.1486777149,0.160875468,0.1627249248
sf,1.285068835,0.2774168652,0.4464962554,0.5941253027,0.7015557774,0.7133708977,0.840582445,0.9643036993
stl,0.3847865043,0.1489685927,0.1583642846,0.1471833181,0.2039555956,0.1921163328,0.1997169506,0.1899811687