city,sp21,fa21,fa22,sp23,fa23,sp24,fa24,full_name,city
atl,8.804656452,6.488429758,4.085672863,5.76402912,8.761543522,9.527121714,9.757873526,Atlanta--Athens-ClarkeCounty--SandySprings_GA-AL,atl
bos,0.9042590988,-1.546259401,-3.298215413,-1.772207583,0.2849018829,0.1115625922,0.6759923312,Boston-Worcester-Providence_MA-RI-NH,bos
chi,3.506801251,2.973813823,0.03173737542,-0.1745418659,2.502867313,3.721798684,4.370272273,Chicago-Naperville_IL-IN-WI,chi
clv,3.380773096,2.257812719,0.4437680303,0.1291990051,1.942942993,2.621629935,2.328419852,Cleveland-Akron-Canton_OH,clv
dal,2.781045023,1.171407223,0.02825833666,-0.02160083347,1.701670488,2.406023376,2.69326785,Dallas-FortWorth_TX-OK,dal
dtr,-0.2709177506,1.215092304,1.325456468,0.8808521689,2.756507625,2.628733028,1.74120379,Detroit-Warren-AnnArbor_MI,dtr
hou,3.848810094,2.836442287,0.7644954371,0.5736828868,2.717194485,3.598887457,3.509757027,Houston-Pasadena_TX,hou
la,0.95294448,-0.0579001103,0.1243030438,1.96713621,3.055223699,3.878426011,3.433004446,LosAngeles-LongBeach_CA,la
ny,2.977106748,1.555253374,-0.08654972402,-0.2296688535,0.8319213653,2.983788342,3.283094225,NewYork-Newark_NY-NJ-CT-PA,ny
orl,4.473792064,2.178905857,-0.8079522871,0.3958652269,3.269149914,4.083427365,4.185965198,Orlando-Lakeland-Deltona_FL,orl
phi,6.754342905,2.365176885,-0.4550118366,-0.8634146726,0.8837213676,2.778357839,3.635861183,Philadelphia-Reading-Camden_PA-NJ-DE-MD,phi
pnx,1.511330491,0.1827671599,0.7811452551,0.3216735347,2.508883511,3.175961545,3.063271458,Phoenix-Mesa_AZ,pnx
sac,3.416854622,-0.5419676794,-1.208368028,1.454927314,1.78771219,2.208846067,0.594034759,Sacramento-Roseville_CA,sac
sf,0.935410909,-0.7482266985,-1.00316713,1.491668666,2.662689635,3.175416022,2.52737982,SanJose-SanFrancisco-Oakland_CA,sf
stl,-2.550498771,-0.3305082007,1.080210363,0.8572341261,3.08966597,2.80867186,2.625652589,StLouis-StCharles-Farmington_MO-IL,stl