name,lat,long,metro
Atlanta--Athens-ClarkeCounty--SandySprings_GA-AL,33.7489924,-84.3902644,atl
Boston-Worcester-Providence_MA-RI-NH,42.3554334,-71.060511,bos
Chicago-Naperville_IL-IN-WI,41.8755616,-87.6244212,chi
Cleveland-Akron-Canton_OH,41.4996574,-81.6936772,clv
Dallas-FortWorth_TX-OK,32.7762719,-96.7968559,dal
Detroit-Warren-AnnArbor_MI,42.3315509,-83.0466403,dtr
Houston-Pasadena_TX,29.7589382,-95.3676974,hou
LosAngeles-LongBeach_CA,34.0536909,-118.242766,la
NewYork-Newark_NY-NJ-CT-PA,40.7127281,-74.0060152,ny
Orlando-Lakeland-Deltona_FL,28.5421109,-81.3790304,orl
Philadelphia-Reading-Camden_PA-NJ-DE-MD,39.9527237,-75.1635262,phi
Phoenix-Mesa_AZ,33.4484367,-112.074141,pnx
Sacramento-Roseville_CA,38.5810606,-121.493895,sac
SanJose-SanFrancisco-Oakland_CA,37.3361663,-121.890591,sf
StLouis-StCharles-Farmington_MO-IL,38.6280278,-90.1910154,stl