city_abbr,index,season,deltaKS,uci,pop_gini
atl,1,fa19,0.2072984376,0.2482998021,0.3073064988
bos,1,fa19,0.3143577382,0.2051511294,0.4062690009
chi,1,fa19,0.2471815482,0.2125182579,0.3862224115
clv,1,fa19,0.1966142205,0.1753201198,0.2759397954
dal,1,fa19,0.07167906017,0.247816622,0.2990350555
dtr,1,fa19,0.2794080733,0.2114648317,0.26600493
hou,1,fa19,0.1939181442,0.2532374316,0.3226761931
la,1,fa19,0.1176914778,0.2030625989,0.3603548672
ny,1,fa19,0.2731065339,0.265440371,0.5456218252
orl,1,fa19,0.2820799776,0.2665365582,0.2807340762
phi,1,fa19,0.3376431831,0.2192474703,0.3896258471
pnx,1,fa19,0.270227379,0.2855815705,0.2990999955
sac,1,fa19,0.3466820436,0.2767181267,0.2817630976
sf,1,fa19,0.1162726183,0.2612217142,0.3629940194
stl,1,fa19,0.1639756652,0.2726706582,0.2673068721